class_name	major	category
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza danych przestrzennych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Sieci komputerowe i internet rzeczy	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Eksploracja danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Uczenie maszynowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie w języku JAVA	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Modelowanie danych przestrzennych (GIS)	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Przetwarzanie danych w chmurach obliczeniowych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Grafika komputerowa 3D	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Satelitarna Interferometria Radarowa	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Podstawy systemów modelowań geodynamicznych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie obiektowe II	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Administracja Systemami Komputerowymi	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Praktyka zawodowa	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Infrastruktura Big Data	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza i przetwarzanie obrazów cyfrowych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Inteligencja obliczeniowa w analizie danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie komunikacji sieciowej	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Kombinatoryka dla programistów	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie w systemie Linux	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza danych w języku Python	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Zaawansowane programowanie PHP	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Programowanie urządzeń mobilnych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Projekt dyplomowy	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Seminarium dyplomowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Advanced Signal Processing	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Bazy danych II	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Technologie Komponentowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Analiza danych w badaniach środowiskowych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Bazy danych przestrzennych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Procesy stochastyczne w Naukach o Ziemi	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Seminarium dyplomowe	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Hurtownie danych	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Advanced Data Mining	Nauki o Ziemi i środowisku	Inżynieria i Analiza Danych
Matematyka I	Nauki o Ziemi i środowisku	Geofizyka
Techniki wizualizacji danych	Nauki o Ziemi i środowisku	Geofizyka
Podstawy geometrii i grafiki komputerowej	Nauki o Ziemi i środowisku	Geofizyka
Aplikacje obliczeniowe I	Nauki o Ziemi i środowisku	Geofizyka
Chemia	Nauki o Ziemi i środowisku	Geofizyka
Geologia ogólna	Nauki o Ziemi i środowisku	Geofizyka
Geodezja	Nauki o Ziemi i środowisku	Geofizyka
Fizyka I	Nauki o Ziemi i środowisku	Geofizyka
Technologie informacyjne	Nauki o Ziemi i środowisku	Geofizyka
Mineralogia i petrografia	Nauki o Ziemi i środowisku	Geofizyka
Fizyka II	Nauki o Ziemi i środowisku	Geofizyka
Matematyka II	Nauki o Ziemi i środowisku	Geofizyka
Aplikacje obliczeniowe II	Nauki o Ziemi i środowisku	Geofizyka
Geofizyka ogólna	Nauki o Ziemi i środowisku	Geofizyka
AutoCAD	Nauki o Ziemi i środowisku	Geofizyka
Kartografia	Nauki o Ziemi i środowisku	Geofizyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geofizyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geofizyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geofizyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geofizyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geofizyka
Podstawy GIS i teledetekcji	Nauki o Ziemi i środowisku	Geofizyka
Statystyka	Nauki o Ziemi i środowisku	Geofizyka
Petrofizyka	Nauki o Ziemi i środowisku	Geofizyka
Matematyka III	Nauki o Ziemi i środowisku	Geofizyka
Teoria sygnałów	Nauki o Ziemi i środowisku	Geofizyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geofizyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geofizyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geofizyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geofizyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geofizyka
Wstęp do astrofizyki	Nauki o Ziemi i środowisku	Geofizyka
Ochrona radiologiczna	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w C++ cz. I	Nauki o Ziemi i środowisku	Geofizyka
Zaawansowane metody obliczeniowe w środowisku MATLAB cz. I	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w języku Java cz. I	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w języku Python cz. I	Nauki o Ziemi i środowisku	Geofizyka
Metody elektryczne i elektromagnetyczne I	Nauki o Ziemi i środowisku	Geofizyka
Grawimetria	Nauki o Ziemi i środowisku	Geofizyka
Metody sejsmiczne I	Nauki o Ziemi i środowisku	Geofizyka
Geologia regionalna	Nauki o Ziemi i środowisku	Geofizyka
Hydrogeologia	Nauki o Ziemi i środowisku	Geofizyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geofizyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geofizyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geofizyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geofizyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geofizyka
Metody obliczeniowe w geofizyce	Nauki o Ziemi i środowisku	Geofizyka
Metodyka geofizycznych prac terenowych	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w języku Java cz. II	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w języku Python cz. II	Nauki o Ziemi i środowisku	Geofizyka
Zaawansowane metody obliczeniowe w środowisku MATLAB cz. II	Nauki o Ziemi i środowisku	Geofizyka
Programowanie w C++ cz. II	Nauki o Ziemi i środowisku	Geofizyka
Metody sejsmiczne II	Nauki o Ziemi i środowisku	Geofizyka
Metody elektryczne i elektromagnetyczne II	Nauki o Ziemi i środowisku	Geofizyka
Metody radarowe	Nauki o Ziemi i środowisku	Geofizyka
Geochemia	Nauki o Ziemi i środowisku	Geofizyka
Geofizyka otworowa I	Nauki o Ziemi i środowisku	Geofizyka
Geotechnika	Nauki o Ziemi i środowisku	Geofizyka
Zarys geologii złóż	Nauki o Ziemi i środowisku	Geofizyka
Wiertnictwo	Nauki o Ziemi i środowisku	Geofizyka
Górnictwo	Nauki o Ziemi i środowisku	Geofizyka
Własności minerałów ilastych	Nauki o Ziemi i środowisku	Geofizyka
Rafy i budowle węglanowe	Nauki o Ziemi i środowisku	Geofizyka
Praktyka zawodowa	Nauki o Ziemi i środowisku	Geofizyka
Zajęcia terenowe z metod geofizycznych	Nauki o Ziemi i środowisku	Geofizyka
Geofizyka otworowa II	Nauki o Ziemi i środowisku	Geofizyka
Magnetometria	Nauki o Ziemi i środowisku	Geofizyka
Promieniotwórczość środowiska	Nauki o Ziemi i środowisku	Geofizyka
Zarządzanie projektami w geofizyce	Nauki o Ziemi i środowisku	Geofizyka
Geofizyka górnicza	Nauki o Ziemi i środowisku	Geofizyka
Podstawy sejsmologii	Nauki o Ziemi i środowisku	Geofizyka
Elementy inwersji w sejsmice	Nauki o Ziemi i środowisku	Geofizyka
Wprowadzenie do systemów interpretacyjnych	Nauki o Ziemi i środowisku	Geofizyka
GPR investigation on engineering problems	Nauki o Ziemi i środowisku	Geofizyka
Space geophysics	Nauki o Ziemi i środowisku	Geofizyka
Podstawy zarządzania z elementami ekonomii	Nauki o Ziemi i środowisku	Geofizyka
Wstęp do przedsiębiorczości	Nauki o Ziemi i środowisku	Geofizyka
Projekt dyplomowy	Nauki o Ziemi i środowisku	Geofizyka
Seminarium dyplomowe	Nauki o Ziemi i środowisku	Geofizyka
Modele analityczne i fizyczne w metodach elektrycznych	Nauki o Ziemi i środowisku	Geofizyka
Strukturalna interpretacja danych sejsmicznych	Nauki o Ziemi i środowisku	Geofizyka
Magnetyczny rezonans jądrowy w geofizyce	Nauki o Ziemi i środowisku	Geofizyka
Interpretacja pól potencjalnych (grawimetria, magnetometria) w geofizyce poszukiwawczej	Nauki o Ziemi i środowisku	Geofizyka
Geofizyka w archeologii	Nauki o Ziemi i środowisku	Geofizyka
Interpretacja danych sejsmiki inżynierskiej	Nauki o Ziemi i środowisku	Geofizyka
Interpretacja pól potencjalnych (graw., mag) w geofizyce inżynierskiej	Nauki o Ziemi i środowisku	Geofizyka
Zaawansowane metody analizy danych georadarowych	Nauki o Ziemi i środowisku	Geofizyka
Stratygrafia sekwencji	Nauki o Ziemi i środowisku	Geofizyka
Sedymentologia	Nauki o Ziemi i środowisku	Geofizyka
Mechanika gruntów i skał	Nauki o Ziemi i środowisku	Geofizyka
Geologia inżynierska	Nauki o Ziemi i środowisku	Geofizyka
Ochrona środowiska	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Chemia	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geologia ogólna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Techniki informatyczne	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Hydrologia inżynierska	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Matematyka I	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geometria i grafika komputerowa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy marketingu i przedsiębiorczości	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy ekonomii z elementami zarządzania	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Prawne aspekty realizacji prac badawczych	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Prawo i własność intelektualna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Fizyka I	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Zajęcia terenowe z geologii	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Paliwa gazowe	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geologia inżynierskia i geotechnika	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Bezpieczeństwo pracy i ergonomia	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Hydrogeologia	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Sieci i instalacje gazowe	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Matematyka II	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geologia złóż kopalin płynnych	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy monitoringu środowiska	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Ochrona powietrza	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Fizyka II	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Maszyny przepływowe	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy budownictwa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Oddziaływanie eksploatacji surowców energetycznych na środowisko	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy energetyki	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Mechanika i wytrzymałość materiałów	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Mechanika płynów	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Termodynamika techniczna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Grafika inżynierska - AutoCAD	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Grafika inżynierska - Corel	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Przemysł paliwowo-energetyczny a ochrona środowiska	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Inżynieria elektryczna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Metody geofizyczne w poszukiwaniach surowców energetycznych	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Fizyka cieplna budynków	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka geotermalna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Zajęcia terenowe z energetyki konwencjonalnej i odnawialnej	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Narzędzia informatyczne w EZE	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Modelowanie i grafika inżynierska w środowisku Petrel	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Metody GIS w EZE	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Materiałoznawstwo	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geochemia powierzchniowa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka słoneczna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Poszukiwanie i udostępnienie złóż gazu ziemnego i wód termalnych	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Pompy ciepła	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Instalacje sanitarne	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka wiatrowa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Ogrzewnictwo, wentylacja i klimatyzacja	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Analiza ryzyka środowiskowego	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Economic aspects of renewable energy sources	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Environmental technology	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Meteorologia i klimatologia	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energia biomasy	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Praktyka zawodowa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka odnawialna a środowisko	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Inteligentne systemy automatyki w budynkach	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Projektowanie instalacji co i cwu z wykorzystaniem OZE	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka wodna	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Audyt energetyczny budynku	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Podstawy fotowoltaiki	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Budownictwo energooszczędne i pasywne	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Przyszłość energetyczna OZE	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Projekt dyplomowy	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Seminarium dyplomowe	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Ekonomika i gospodarka surowcami energetycznymi	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Alternatywne źródła energii	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Gospodarka odpadami	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Fizyczne podstawy konwersji energii	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Energetyka jądrowa	Nauki o Ziemi i środowisku	Ekologiczne Źródła Energii
Geologia ogólna	Nauki o Ziemi i środowisku	Geoinformatyka
Algorytmy i struktury danych	Nauki o Ziemi i środowisku	Geoinformatyka
Wstęp do geomatyki	Nauki o Ziemi i środowisku	Geoinformatyka
Algebra liniowa	Nauki o Ziemi i środowisku	Geoinformatyka
Podstawy informatyki	Nauki o Ziemi i środowisku	Geoinformatyka
Analiza matematyczna I	Nauki o Ziemi i środowisku	Geoinformatyka
Podstawy geodezji	Nauki o Ziemi i środowisku	Geoinformatyka
Geofizyka	Nauki o Ziemi i środowisku	Geoinformatyka
Fizyka I	Nauki o Ziemi i środowisku	Geoinformatyka
Programowanie proceduralne	Nauki o Ziemi i środowisku	Geoinformatyka
Analiza matematyczna II	Nauki o Ziemi i środowisku	Geoinformatyka
Rachunek prawdopodobieństwa i statystyka matematyczna	Nauki o Ziemi i środowisku	Geoinformatyka
Przetwarzanie danych środowiskowych	Nauki o Ziemi i środowisku	Geoinformatyka
Ochrona własności intelektualnej	Nauki o Ziemi i środowisku	Geoinformatyka
Aspekty ekonomiczno-prawne w informatyce	Nauki o Ziemi i środowisku	Geoinformatyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 1/3	Nauki o Ziemi i środowisku	Geoinformatyka
Podstawy teledetekcji i fotogrametrii	Nauki o Ziemi i środowisku	Geoinformatyka
Fizyka II	Nauki o Ziemi i środowisku	Geoinformatyka
Analiza danych przestrzennych	Nauki o Ziemi i środowisku	Geoinformatyka
Systemy CAD w geoinformatyce	Nauki o Ziemi i środowisku	Geoinformatyka
Systemy GIS w naukach o Ziemi	Nauki o Ziemi i środowisku	Geoinformatyka
Metody numeryczne	Nauki o Ziemi i środowisku	Geoinformatyka
Geozagrożenia	Nauki o Ziemi i środowisku	Geoinformatyka
Programowanie obiektowe	Nauki o Ziemi i środowisku	Geoinformatyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 2/3	Nauki o Ziemi i środowisku	Geoinformatyka
Kartografia geologiczna wspomagana komputerowo	Nauki o Ziemi i środowisku	Geoinformatyka
Zajęcia terenowe z kartografii geologicznej wspomaganej komputerowo	Nauki o Ziemi i środowisku	Geoinformatyka
Grafika komputerowa 3D	Nauki o Ziemi i środowisku	Geoinformatyka
Bazy danych	Nauki o Ziemi i środowisku	Geoinformatyka
Modelowanie w naukach o Ziemi	Nauki o Ziemi i środowisku	Geoinformatyka
Systemy operacyjne	Nauki o Ziemi i środowisku	Geoinformatyka
Elektroniczne techniki pomiarowe w naukach o Ziemi	Nauki o Ziemi i środowisku	Geoinformatyka
Język rosyjski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język angielski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język hiszpański B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język francuski B-2 – kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geoinformatyka
Język niemiecki B-2 - kurs obowiązkowy 135 godzin - semestr 3/3	Nauki o Ziemi i środowisku	Geoinformatyka
Sieci komputerowe	Nauki o Ziemi i środowisku	Geoinformatyka
